No;OBJECTID;X;Y;Name;CodeELSTAT;PopM01;PopF01;PopTot01;UnemrM01;UnemrF01;UnemrT01;PrSect01;Foreig01;Income01
202;203;485562.5194;4209895.957;VRILISSION;4603;12644;13923;26567;2.636793;5.494505;3.922883;0.497295;4.682677;22306.36886
203;204;479810.7717;4211313.436;IRAKLEIOU;4604;23576;24556;48132;3.854713;6.486486;4.943621;0.45586;4.805635;15546.21549
204;205;484590.289;4215337.602;KIFISIAS;4605;31339;35145;66484;3.599124;6.739886;4.94433;1.050271;9.058772;22713.81997
205;206;481275.9049;4212723.317;LYKOVRYSIS - PEVKIS;4606;14010;15310;29320;3.497064;5.790409;4.481024;0.781873;4.68281;18012.84653
206;207;479008.8967;4212873.135;METAMORFOSEOS;4607;13320;14202;27522;4.12783;7.133165;5.351646;0.883996;6.65286;14017.15822
207;208;478763.2558;4209693.061;NEAS IONIAS;4608;33558;35950;69508;4.187503;6.034765;4.928766;0.366845;8.611015;13399.83292
208;209;482792.7582;4204570.429;PAPAGOU - CHOLARGOU;4609;22220;25494;47714;2.983549;5.195791;4.004405;0.521431;5.155828;19957.23993
209;210;490360.7408;4211652.5;PENTELIS;4610;15078;15878;30956;3.794505;6.107249;4.781411;0.82332;8.331449;20040.30088
210;211;480180.6217;4207156.636;FILOTHEIS - PSYCHIKOU;4611;14066;16688;30754;3.43491;5.214008;4.256849;0.398047;8.184301;24573.89454
211;212;483381.6485;4208101.364;CHALANDRIOU;4612;35391;39936;75327;4.74345;7.88267;6.147813;0.716765;6.18246;18996.2013
212;213;472580.443;4207194.264;PERISTERIOU;4701;72391;74352;146743;4.540875;6.441301;5.234798;0.458925;7.056066;12433.88827
213;214;469729.3949;4204702.922;AGIAS VARVARAS;4702;15249;16105;31354;6.293706;9.455388;7.413793;0.283763;5.495312;11085.77227
214;215;474606.1577;4210857.733;AGION ANARGYRON - KAMATEROU;4703;28791;29453;58244;4.037445;5.84166;4.699718;0.613263;7.097849;12571.41912
215;216;471632.4804;4204488.865;AIGALEO;4704;38439;39478;77917;5.292914;8.835208;6.606146;0.551688;7.097387;12066.64926
216;217;474105.124;4209703.699;ILIOU;4705;42205;43367;85572;4.422944;7.701301;5.640914;0.451669;6.433254;12459.10637
217;218;471469.8446;4210471.338;PETROUPOLEOS;4706;25327;26232;51559;3.900302;7.354972;5.227775;0.448012;3.252711;13472.29011
218;219;467432.9112;4206636.273;CHAIDARIOU;4707;24538;23956;48494;4.083563;6.018519;4.818924;0.328626;3.736699;13704.54664
219;220;473531.6063;4200257.926;KALLITHEAS;4801;54137;61013;115150;5.138626;6.595012;5.753463;0.361087;8.201391;13027.38648
220;221;476160.1489;4198192.998;AGIOU DIMITRIOU;4802;33754;34965;68719;4.53857;7.95207;5.877712;0.474993;6.582164;13734.15286
221;222;475789.6949;4196129.58;ALIMOU;4803;18894;20906;39800;3.315304;5.347001;4.167878;0.309353;6.166604;16958.46242
222;223;479844.1682;4192498.663;GLYFADAS;4804;39780;43885;83665;3.663315;5.233325;4.318526;0.572086;7.97901;17935.64368
223;224;477982.2557;4194720.718;ELLINIKOU - ARGYROUPOLIS;4805;25080;26219;51299;4.460828;7.602843;5.745355;0.429726;5.75461;15089.91727
224;225;472503.4312;4201270.772;MOSCHATOU - TAVROU;4806;19431;20439;39870;4.666667;7.772727;5.865497;0.515624;7.740544;13509.902
225;226;474777.6387;4199269.873;NEAS SMYRNIS;4807;35473;41035;76508;3.466766;5.135281;4.202529;0.319103;6.705269;16619.00747
226;227;473672.854;4197764.131;PALAIOU FALIROU;4808;31042;36118;67160;4.071842;5.780781;4.797139;0.438809;8.803252;16035.15788
227;228;476904.0684;4221560.836;ACHARNON;4901;42168;40387;82555;5.383592;9.923536;6.918793;2.442077;7.109372;11532.81391
228;229;481399.2936;4186566.343;VARIS - VOULAS - VOULIAGMENIS;4902;20629;21498;42127;3.435469;6.020158;4.483216;1.514451;12.438579;19520.44116
229;230;486902.0661;4220729.278;DIONYSOU;4903;16511;15993;32504;2.643993;4.707641;3.40752;3.019678;13.518336;20617.69563
230;231;487012.5318;4192193.965;KROPIAS;4904;12621;11832;24453;4.005006;6.549842;4.835082;7.621111;13.038322;12282.96805
231;232;501116.1036;4176954.973;LAVREOTIKIS;4905;11162;11099;22261;7.219061;13.20827;9.118504;4.702739;6.801438;11458.78777
232;233;497524.2596;4224632.112;MARATHONOS;4906;12454;11520;23974;5.322295;8.860759;6.505265;15.073684;15.055692;11591.46425
233;234;497791.1868;4193271.127;MARKOPOULOU MESOGAIAS;4907;6799;6845;13644;3.383998;6.501548;4.497696;6.311523;9.830658;12800.67458
234;235;488326.7747;4200687.875;PAIANIAS;4908;9756;10011;19767;4.773631;8.185706;6.079738;5.838417;7.603582;14564.76827
235;236;489382.7945;4206707.097;PALLINIS;4909;16842;16769;33611;4.337924;8.12065;5.834153;1.169509;8.509372;15578.63786
236;237;496200.4256;4207838.304;RAFINAS - PIKERMIOU;4910;6816;6809;13625;3.338898;4.923903;3.946465;2.054305;13.387156;16607.3073
237;238;494583.161;4181739.202;SARONIKOU;4911;11731;11135;22866;3.794389;6.578947;4.729075;4.613297;13.233622;13089.82881
238;239;496356.7601;4201933.98;SPATON - ARTEMIDOS;4912;12848;12290;25138;6.4249;12.036274;8.343512;4.541261;14.364707;12144.68961
239;240;481063.16;4233760.362;OROPOU;4913;16023;13519;29542;4.417867;4.992826;4.589434;15.238266;13.960731;12059.23401
240;241;459051.2363;4214126.192;ELEVSINAS;5001;15248;14631;29879;5.075883;7.678926;5.958702;1.227819;7.101978;13481.76991
241;242;464733.6446;4216558.808;ASPROPYRGOU;5002;14619;13308;27927;5.708556;5.965997;5.786281;6.518078;12.38675;11324.65871
242;243;443910.1186;4221454.072;MANDRAS - EIDYLLIAS;5003;9254;9423;18677;3.97704;5.121171;4.33121;6.583814;7.206725;11755.16362
243;244;436191.7656;4208817.603;MEGAREON;5004;17422;16752;34174;3.862804;6.697777;4.679102;16.135987;8.723006;10213.3995
244;245;470922.9368;4218968.3;FYLIS;5005;19493;19644;39137;6.615532;11.115635;8.056316;1.056288;5.871832;10706.76557
245;246;468574.0341;4199691.401;PEIRAIOS;5101;87362;94571;181933;5.742561;7.68377;6.480184;0.491722;8.515141;13526.48684
246;247;466418.5592;4201598.253;KERATSINIOU - DRAPETSONAS;5102;44557;47252;91809;5.465849;8.660227;6.550318;0.762893;5.506176;11927.69381
247;248;468779.0044;4203908.508;KORYDALLOU;5103;35298;35412;70710;5.863192;9.388493;7.156274;0.349096;6.678547;12390.07628
248;249;469470.1381;4202533.595;NIKAIAS - AGIOU IOANNI RENTI;5104;54094;57126;111220;6.092967;9.197303;7.185884;0.364312;7.463988;11750.49109
249;250;463227.1028;4202953.355;PERAMATOS;5105;13352;13332;26684;5.599654;8.106396;6.384455;0.476543;5.757121;11067.58053
250;251;454085.8427;4198811.164;SALAMINOS;5201;17818;17157;34975;6.545226;9.175843;7.264762;5.284913;5.658489;10981.72046
251;252;449626.2498;4131555.696;YDRAS;5202;1298;1348;2646;6.092125;7.394366;6.478579;7.039106;12.962963;11245.356
252;253;441620.2553;4171877.053;AGKISTRIOU;5203;448;438;886;9.452736;11.320755;9.84252;3.930131;11.399549;9532.880665
253;254;454094.8409;4176476.883;AIGINAS;5204;6383;6333;12716;9.277031;14.453412;10.848741;9.045477;7.974206;9532.880665
254;255;410467.7995;4008720.325;KYTHIRON;5205;1812;1759;3571;7.166483;8.139535;7.479432;19.320938;13.889667;11610.35747
255;256;453684.219;4148424.031;POROU;5206;2381;1901;4282;11.890505;12.162162;11.965282;10.352113;7.730033;9296.633841
256;257;428507.96;4118294.779;SPETSON;5207;1845;1935;3780;6.084396;5.585106;5.949821;6.478659;11.746032;9269.2439
257;258;440740.0029;4153915.959;TROIZINIAS;5208;4336;3902;8238;2.525033;3.255814;2.758007;53.857884;11.762564;9316.761604
258;259;693592.9839;4337727.396;LESVOU;5301;46011;44425;90436;4.445903;6.354578;5.081193;29.294261;4.899598;11387.17205
259;260;689808.2582;4162918.588;IKARIAS;5401;4280;4074;8354;5.658324;8.076514;6.47715;29.819161;4.429016;9832.88178
260;261;719796.896;4162851.531;FOURNON KORSEON;5402;752;735;1487;14.079422;5.813953;12.121212;18.808777;1.143241;9107.992058
261;262;604693.9011;4418679.416;LIMNOU;5501;9799;7746;17545;4.557385;6.592113;5.144312;20.368713;3.938444;10122.84899
262;263;586374.1086;4374376.432;AGIOU EVSTRATIOU;5502;172;135;307;1.298701;2.777778;1.769912;44.144144;2.605863;7725.916147
263;264;747589.5266;4179682.009;SAMOU;5601;17854;16146;34000;4.110802;7.544379;5.275038;16.574001;5.361922;11308.20587
264;265;675929.3213;4252023.411;CHIOU;5701;26442;25331;51773;5.912502;6.305624;6.0406;11.452587;4.438607;11786.19731
265;266;695052.0138;4265523.766;OINOUSSON;5702;455;400;855;24.867725;5.882353;7;13.157895;4.210526;11645.23074
266;267;637069.007;4269924.614;PSARON;5703;236;242;478;6.976744;15.789474;8.571429;14.583333;7.531381;9669.141958
267;268;577572.9782;4146487.656;SYROU - ERMOUPOLIS;5801;9742;10051;19793;4.833534;8.970874;6.242561;4.161377;2.763603;12864.63848
268;269;574498.4139;4190085.498;ANDROU;5901;4806;4479;9285;6.627963;9.543568;7.555262;18.308351;10.188476;10136.63514
269;270;627237.5385;4028936.074;THIRAS;6001;7092;6633;13725;8.323073;18.700475;11.622439;5.720258;14.937336;11524.86643
270;271;659987.8323;4025276.546;ANAFIS;6002;135;137;272;1.369863;2.941176;1.869159;43.809524;1.102941;9062.404166
271;272;618332.1043;4064536.428;IITON;6003;982;880;1862;4.020979;11.5;5.958549;17.768595;9.291085;9373.082883
272;273;599675.6973;4059438.097;SIKINOU;6004;118;120;238;0;4.545455;1.333333;27.027027;1.680672;7566.666874
273;274;580460.093;4053701.559;FOLEGANDROU;6005;361;315;676;3.723404;7.246377;4.669261;31.428571;4.733728;9215.517837
274;275;766084.2464;4097334.771;KALYMNION;6101;8271;8305;16576;10.518214;11.95572;10.889016;15.295877;7.830598;9167.76417
275;276;762387.857;4149989.46;AGATHONISIOU;6102;92;60;152;12.765957;10;12.280702;56;9.210526;5421.733909
276;277;712852.8;4046679.533;ASTYPALAIAS;6103;713;672;1385;2.608696;4.918033;3.211991;19.911504;4.765343;11184.92153
277;278;743770.3501;4131533.431;LEIPSON;6104;346;341;687;6.321839;10.638298;7.239819;20;4.221252;5421.733909
278;279;745206.9261;4112586.502;LEROU;6105;4284;3888;8172;3.820961;5.522088;4.420085;7.658158;3.132648;12235.92235
279;280;729978.1813;4135731.096;PATMOU;6106;1532;1521;3053;9.921962;19.891008;12.816456;11.524501;5.142483;9166.012535
280;281;785721.5032;3945491.314;KARPATHOU;6201;3335;3230;6565;9.130707;20.872274;12.494422;14.63539;14.470678;8595.080677
281;282;764886.7566;3920327.908;KASOU;6202;517;496;1013;11.170213;15.873016;12.350598;25.454545;9.575518;8647.091748
282;283;526876.6582;4163958.532;KEAS;6301;1153;1009;2162;0.151515;2.222222;0.677966;26.279863;20.259019;11273.3675
283;284;536776.278;4138163.698;KYTHNOU;6302;793;745;1538;3.266332;4.615385;3.709949;37.478109;3.185956;10105.42611
284;285;779385.2992;4079028.812;KO;6401;16636;14192;30828;7.957379;16.447368;11.034832;4.719357;11.019203;11774.02956
285;286;781864.4791;4054007.812;NISYROU;6402;484;444;928;15.584416;30.337079;19.6875;5.836576;6.573276;10000.0154
286;287;537743.204;4062356.343;MILOU;6501;2429;2307;4736;2.549801;10.128913;4.83871;5.552309;6.504752;12157.02224
287;288;551995.2536;4071941.173;KIMOLOU;6502;431;407;838;2.290076;1.851852;2.162162;16.574586;0.357995;10928.18866
288;289;542866.5516;4112791.061;SERIFOU;6503;681;581;1262;3.333333;5;3.809524;13.366337;4.912837;10381.57632
289;290;562413.1744;4091552.943;SIFNOU;6504;1347;1227;2574;2.798233;4.669261;3.311966;16.464088;5.633256;10584.59118
290;291;619778.0359;4144897.406;MYKONOU;6601;4963;4311;9274;3.007762;9.956395;5.147717;4.341671;24.533592;13106.51712
291;292;668913.9715;4079153.345;AMORGOU;6701;989;863;1852;5.744681;8.074534;6.339144;26.903553;9.557235;9479.281342
292;293;633332.9396;4100343.012;NAXOU KAI MIKRON KYKLADON;6702;9528;8701;18229;6.121106;10.752688;7.600418;23.594053;7.323496;10360.87907
293;294;605834.9315;4101826.671;PAROU;6801;6438;6076;12514;4.223711;12.958435;7.042809;12.075552;14.097339;10528.1431
294;295;592541.5276;4094236.675;ANTIPAROU;6802;533;478;1011;4.4;9.615385;5.932203;28.228228;6.726014;9025.079789
295;296;855314.0686;4011382.108;RODOU;6901;59712;55622;115334;12.181726;20.995395;15.389431;4.961814;9.170128;12302.95495
296;297;1001577.713;4014035.346;MEGISTIS;6902;270;133;403;2.013423;14.285714;3.529412;2.439024;6.451613;9412.224138
297;298;842932.347;4056547.9;SYMIS;6903;1402;1192;2594;12.338858;17.674419;13.852243;9.341501;7.67155;9593.545145
298;299;801313.6861;4036585.347;TILOU;6904;295;226;521;8.695652;9.210526;8.846154;12.236287;13.819578;9261.601516
299;300;824000.9913;4016217.423;CHALKIS;6905;165;130;295;1.265823;4.166667;1.941748;31.683168;17.966102;8888.138597
300;301;599819.3488;4162201.252;TINOU;7001;4024;4091;8115;4.123711;10.214505;6.100796;12.782486;5.853358;10143.64942
301;302;599279.523;3900401.022;IRAKLEIOU;7101;81067;82048;163115;5.047587;8.832661;6.557167;7.477305;4.048727;12479.91195
302;303;606783.7975;3883043.291;ARCHANON - ASTEROUSION;7102;8938;8593;17531;1.811208;2.327273;2.001881;54.140389;3.513776;8080.973395
303;304;629865.6276;3878698.659;VIANNOU;7103;3009;2974;5983;6.176266;9.956236;7.643312;65.793103;7.18703;7416.650771
304;305;591767.8725;3878950.45;GORTYNAS;7104;8868;8555;17423;4.127411;5.056634;4.458874;62.739767;3.856971;7264.695448
305;306;588773.0787;3907833.862;MALEVIZIOU;7105;10499;10236;20735;6.413177;12.676056;8.724016;25.19685;4.195804;10508.36874
306;307;618039.1456;3888713.226;MINOA PEDIADAS;7106;9578;9114;18692;3.534518;4.347826;3.833072;51.843287;4.976455;8427.782051
307;308;575963.9448;3879452.094;FAISTOU;7107;12036;11846;23882;3.775763;5.600901;4.44999;47.181719;6.25157;9011.115786
308;309;622004.4926;3905268.342;CHERSONISOU;7108;12380;11484;23864;11.008326;17.430673;13.273453;16.006904;13.828361;10616.65594
309;310;648457.783;3898468.002;AGIOU NIKOLAOU;7201;12978;13091;26069;7.345065;14.028285;10.028391;11.268322;8.46983;12393.12758
310;311;661879.7382;3881098.105;IERAPETRAS;7202;14169;13575;27744;4.714769;7.463809;5.839809;44.98284;11.988178;10033.98085
311;312;634297.3718;3891772.274;OROPEDIOU LASITHIOU;7203;1542;1525;3067;2.163062;3.225806;2.569373;47.257384;1.923704;8457.863978
312;313;693549.936;3890352.024;SITEIAS;7204;9552;9304;18856;5.140785;8.539648;6.408027;37.721555;6.310989;10867.97604
313;314;544158.6611;3907814.261;RETHYMNIS;7301;23281;23991;47272;6.139852;13.017751;8.836888;11.545543;9.663226;13184.75781
314;315;546519.9983;3893142.495;AGIOU VASILEIOU;7302;4444;4204;8648;4.517134;8.283433;5.806011;38.57868;7.400555;8924.440205
315;316;561904.9222;3896394.313;AMARIOU;7303;2903;2730;5633;3.232607;3.727506;3.407542;53.339605;2.148056;8208.923846
316;317;579081.6291;3899990.28;ANOGEION;7304;2031;2023;4054;5.995935;7.333333;6.415621;56.706408;1.307351;7760.382903
317;318;570556.0225;3910952.682;MYLOPOTAMOU;7305;6898;6452;13350;2.905639;6.22093;4.003079;45.10826;6.982319;9470.432432
318;319;504851.0389;3925653.891;CHANION;7401;50148;48054;98202;5.102598;9.29851;6.666993;5.725071;7.916497;11612.22968
319;320;517480.1875;3913751.485;APOKORONOU;7402;6120;5992;12112;4.325613;12.36413;7.009982;35.838009;8.900264;8787.677923
320;321;507562.9646;3855767.657;GAVDOU;7403;49;32;81;0;0;0.35;51.351351;9.876543;8498.080328
321;322;475420.5821;3905917.949;KANTANOU - SELINOU;7404;3271;3031;6302;2.3125;2.234637;2.284569;61.525841;14.680209;7989.958401
322;323;465887.9907;3920086.947;KISSAMOU;7405;5925;5545;11470;4.847458;5.894591;5.191257;45.701249;7.916303;8750.030129
323;324;484468.9696;3924050.753;PLATANIA;7406;9217;8647;17864;4.437401;8.586262;5.938448;51.305684;8.889386;8120.027122
324;325;508083.9048;3901847.18;SFAKION;7407;1288;1131;2419;1.920439;2.839117;2.198853;63.929619;4.960728;6602.391386
